;Tweet;Sentimen;step01;tokens;final_tokens;step02
11;"Bencana Nasional Covid-19; DPRD Indramayu Minta BUMD Beri Keringanan Tagihan Kredit hingga Tagihan PDAM |";1.0;bencana nasional covid   dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam;['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];['bencana', 'nasional', 'covid', 'dprd', 'indramayu', 'minta', 'bumd', 'beri', 'keringanan', 'tagihan', 'kredit', 'hingga', 'tagihan', 'pdam'];bencana nasional covid dprd indramayu minta bumd beri keringanan tagihan kredit hingga tagihan pdam
12;Cegah Covid-19, Pemprov dan FKUB Papua Barat Sepakat Adakan Doa Bersama Serentak. OPM;1.0;cegah covid   pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm;['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];['cegah', 'covid', 'pemprov', 'dan', 'fkub', 'papua', 'barat', 'sepakat', 'adakan', 'doa', 'bersama', 'serentak', 'opm'];cegah covid pemprov dan fkub papua barat sepakat adakan doa bersama serentak opm
13;"pagi... kenapa ya di daerah sy (cipinang besar selatan) rt 7 rw 6 nya tdk prnh aware dgn warganya. Setiap ada bantuan tidak pernah transparansi &amp; kejadian covid ini jg tidak ada tindakan semprot disinfektan, dbd jg banyak tp tidak ada fogging. Tp uang kas ttp jalan";1.0;pagi kenapa ya di daerah sy cipinang besar selatan rt   rw   nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi amp kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan;['pagi', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rt', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'amp', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];['pagi', 'kenapa', 'ya', 'di', 'daerah', 'sy', 'cipinang', 'besar', 'selatan', 'rt', 'rw', 'nya', 'tdk', 'prnh', 'aware', 'dgn', 'warganya', 'setiap', 'ada', 'bantuan', 'tidak', 'pernah', 'transparansi', 'amp', 'kejadian', 'covid', 'ini', 'jg', 'tidak', 'ada', 'tindakan', 'semprot', 'disinfektan', 'dbd', 'jg', 'banyak', 'tp', 'tidak', 'ada', 'fogging', 'tp', 'uang', 'kas', 'ttp', 'jalan'];pagi kenapa ya di daerah sy cipinang besar selatan rt rw nya tdk prnh aware dgn warganya setiap ada bantuan tidak pernah transparansi amp kejadian covid ini jg tidak ada tindakan semprot disinfektan dbd jg banyak tp tidak ada fogging tp uang kas ttp jalan
14;Skrinews - Pdt. JIMMY: MARI BERSAMA MEMERANGI VIRUS CORONA (COVID-19) DEMI MENJAGA TANAH PAPUA;1.0;skrinews pdt jimmy mari bersama memerangi virus corona covid   demi menjaga tanah papua;['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua'];['skrinews', 'pdt', 'jimmy', 'mari', 'bersama', 'memerangi', 'virus', 'corona', 'covid', 'demi', 'menjaga', 'tanah', 'papua'];skrinews pdt jimmy mari bersama memerangi virus corona covid demi menjaga tanah papua
15;Ada 15 cara menyuruh Covid-19 segera pergi, Jaga kebersihan dan ketertiban. Bukankah Covid-19 telah mendidik kita agar selalu menjaga kebersihan badan, pakaian, barang dan lingkungan dengan rajin mandi, mencuci tangan, dan tidak sembarangan membuang sampah?;1.0;ada   cara menyuruh covid   segera pergi jaga kebersihan dan ketertiban bukankah covid   telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah;['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];['ada', 'cara', 'menyuruh', 'covid', 'segera', 'pergi', 'jaga', 'kebersihan', 'dan', 'ketertiban', 'bukankah', 'covid', 'telah', 'mendidik', 'kita', 'agar', 'selalu', 'menjaga', 'kebersihan', 'badan', 'pakaian', 'barang', 'dan', 'lingkungan', 'dengan', 'rajin', 'mandi', 'mencuci', 'tangan', 'dan', 'tidak', 'sembarangan', 'membuang', 'sampah'];ada cara menyuruh covid segera pergi jaga kebersihan dan ketertiban bukankah covid telah mendidik kita agar selalu menjaga kebersihan badan pakaian barang dan lingkungan dengan rajin mandi mencuci tangan dan tidak sembarangan membuang sampah
16;Kementerian Agama Provinsi Papua Barat, Azis Hegemur mengatakan, Umat Islam di Provinsi Papua Barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit Covid-19. OPM;1.0;kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid   opm;['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm'];['kementerian', 'agama', 'provinsi', 'papua', 'barat', 'azis', 'hegemur', 'mengatakan', 'umat', 'islam', 'di', 'provinsi', 'papua', 'barat', 'diimbau', 'agar', 'tidak', 'menolak', 'pemakaman', 'jenazah', 'pasien', 'positif', 'terjangkit', 'covid', 'opm'];kementerian agama provinsi papua barat azis hegemur mengatakan umat islam di provinsi papua barat diimbau agar tidak menolak pemakaman jenazah pasien positif terjangkit covid opm
17;Aku baru bangun tidur, dan menyeruput kopi sedikit. Ketika ibuk mencak2 gak karuan. Satu orang pahlawan garis depan Covid-19 meninggal dunia dan ditolak warga setempat. Mungkin lebih tepatnya sekolompok warga yang kurang edukasi.;1.0;aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid   meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi;['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];['aku', 'baru', 'bangun', 'tidur', 'dan', 'menyeruput', 'kopi', 'sedikit', 'ketika', 'ibuk', 'mencak', 'gak', 'karuan', 'satu', 'orang', 'pahlawan', 'garis', 'depan', 'covid', 'meninggal', 'dunia', 'dan', 'ditolak', 'warga', 'setempat', 'mungkin', 'lebih', 'tepatnya', 'sekolompok', 'warga', 'yang', 'kurang', 'edukasi'];aku baru bangun tidur dan menyeruput kopi sedikit ketika ibuk mencak gak karuan satu orang pahlawan garis depan covid meninggal dunia dan ditolak warga setempat mungkin lebih tepatnya sekolompok warga yang kurang edukasi
18;Jangan mudik dong! Ancaman penyebaran COVID-19 yang lebih luas. - Tandatangani Petisi! via;1.0;jangan mudik dong ancaman penyebaran covid   yang lebih luas tandatangani petisi via;['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];['jangan', 'mudik', 'dong', 'ancaman', 'penyebaran', 'covid', 'yang', 'lebih', 'luas', 'tandatangani', 'petisi', 'via'];jangan mudik dong ancaman penyebaran covid yang lebih luas tandatangani petisi via
19;Berita seperti ini tidak akan ditengok oleh Muflis DUNGU Kecuali berita HOAX macam kudeta MBS, 150 pangeran kena COVID-19 yg sumbernya sama dari kaum LIBERAL;-1.0;berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs   pangeran kena covid   yg sumbernya sama dari kaum liberal;['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];['berita', 'seperti', 'ini', 'tidak', 'akan', 'ditengok', 'oleh', 'muflis', 'dungu', 'kecuali', 'berita', 'hoax', 'macam', 'kudeta', 'mbs', 'pangeran', 'kena', 'covid', 'yg', 'sumbernya', 'sama', 'dari', 'kaum', 'liberal'];berita seperti ini tidak akan ditengok oleh muflis dungu kecuali berita hoax macam kudeta mbs pangeran kena covid yg sumbernya sama dari kaum liberal
20;Giat Bhabinkamtibmas Polsek Tamalatea bersama Aparatur Desa Kareloe dan Relawan melakukan penyemprotan Disinfektan untuk mencegah penyebaran Virus Covid-19;1.0;giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid  ;['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid'];['giat', 'bhabinkamtibmas', 'polsek', 'tamalatea', 'bersama', 'aparatur', 'desa', 'kareloe', 'dan', 'relawan', 'melakukan', 'penyemprotan', 'disinfektan', 'untuk', 'mencegah', 'penyebaran', 'virus', 'covid'];giat bhabinkamtibmas polsek tamalatea bersama aparatur desa kareloe dan relawan melakukan penyemprotan disinfektan untuk mencegah penyebaran virus covid
21;Temanggung, Jawa Tengah...anggota gugus tugas covid 19 kelurahan mungseng, temanggung...mau tak bagiin di posko...;-1.0;temanggung jawa tengah anggota gugus tugas covid   kelurahan mungseng temanggung mau tak bagiin di posko;['temanggung', 'jawa', 'tengah', 'anggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggung', 'mau', 'tak', 'bagiin', 'di', 'posko'];['temanggung', 'jawa', 'tengah', 'anggota', 'gugus', 'tugas', 'covid', 'kelurahan', 'mungseng', 'temanggung', 'mau', 'tak', 'bagiin', 'di', 'posko'];temanggung jawa tengah anggota gugus tugas covid kelurahan mungseng temanggung mau tak bagiin di posko
22;Profil Operasional Bandara AP II di Tengah Pandemi COVID-19;0.0;profil operasional bandara ap ii di tengah pandemi covid  ;['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid'];['profil', 'operasional', 'bandara', 'ap', 'ii', 'di', 'tengah', 'pandemi', 'covid'];profil operasional bandara ap ii di tengah pandemi covid
23;Btw long weekend ni pada mau kemana... Dulu sebelum ada nya si covid 19 ini long weekend itu yang paling di nanti .., eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae (DASAR AKU);0.0;btw long weekend ni pada mau kemana dulu sebelum ada nya si covid   ini long weekend itu yang paling di nanti eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae dasar aku;['btw', 'long', 'weekend', 'ni', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'weekend', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'mah', 'beneran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'dirumah', 'malah', 'ngedumel', 'bae', 'dasar', 'aku'];['btw', 'long', 'weekend', 'ni', 'pada', 'mau', 'kemana', 'dulu', 'sebelum', 'ada', 'nya', 'si', 'covid', 'ini', 'long', 'weekend', 'itu', 'yang', 'paling', 'di', 'nanti', 'eh', 'skrng', 'mah', 'beneran', 'panjang', 'libur', 'nya', 'di', 'kasih', 'enak', 'dirumah', 'malah', 'ngedumel', 'bae', 'dasar', 'aku'];btw long weekend ni pada mau kemana dulu sebelum ada nya si covid ini long weekend itu yang paling di nanti eh skrng mah beneran panjang libur nya di kasih enak dirumah malah ngedumel bae dasar aku
24;Hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid-19 kemana ya?;1.0;hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid   kemana ya;['hallo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya'];['hallo', 'dan', 'mau', 'laporkan', 'adanya', 'kegiatan', 'yang', 'melanggar', 'ketentuan', 'tentang', 'jaga', 'jarak', 'selama', 'wabah', 'covid', 'kemana', 'ya'];hallo dan mau laporkan adanya kegiatan yang melanggar ketentuan tentang jaga jarak selama wabah covid kemana ya
25;Hei guys, gw mau ngajak kalian untuk agar pandemik covid-19 ini lekas hilang. Aamiin.Gimana?? Kurangin dah tuh nongki2, halan2, atau segala aktivitas diluar ruangan. Yuk belajar utbk aja, tau sendirikan pesaing lo tuh buanyak banget. Yok ;1.0;hei guys gw mau ngajak kalian untuk agar pandemik covid   ini lekas hilang aamiin gimana kurangin dah tuh nongki halan atau segala aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok;['hei', 'guys', 'gw', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiin', 'gimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok'];['hei', 'guys', 'gw', 'mau', 'ngajak', 'kalian', 'untuk', 'agar', 'pandemik', 'covid', 'ini', 'lekas', 'hilang', 'aamiin', 'gimana', 'kurangin', 'dah', 'tuh', 'nongki', 'halan', 'atau', 'segala', 'aktivitas', 'diluar', 'ruangan', 'yuk', 'belajar', 'utbk', 'aja', 'tau', 'sendirikan', 'pesaing', 'lo', 'tuh', 'buanyak', 'banget', 'yok'];hei guys gw mau ngajak kalian untuk agar pandemik covid ini lekas hilang aamiin gimana kurangin dah tuh nongki halan atau segala aktivitas diluar ruangan yuk belajar utbk aja tau sendirikan pesaing lo tuh buanyak banget yok
26;JANGAN ADA DUSTA DIANTARA KITA: Kisah Pilu Dokter Menangani Pasien Yang Ternyata Positif Covid-19;1.0;jangan ada dusta diantara kita kisah pilu dokter menangani pasien yang ternyata positif covid  ;['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid'];['jangan', 'ada', 'dusta', 'diantara', 'kita', 'kisah', 'pilu', 'dokter', 'menangani', 'pasien', 'yang', 'ternyata', 'positif', 'covid'];jangan ada dusta diantara kita kisah pilu dokter menangani pasien yang ternyata positif covid
27;COVID-19 Telah Bermutasi? Ada Gelombang Kedua Virus Corona;-1.0;covid   telah bermutasi ada gelombang kedua virus corona;['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona'];['covid', 'telah', 'bermutasi', 'ada', 'gelombang', 'kedua', 'virus', 'corona'];covid telah bermutasi ada gelombang kedua virus corona
28;Salam Jumaat.. Ya Allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik.. Jauhilah kami dari segala penyakit berjangkit covid 19 dan hamba mu yang sedang berjuang kesakitan yang berada di hospital..;1.0;salam jumaat ya allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik jauhilah kami dari segala penyakit berjangkit covid   dan hamba mu yang sedang berjuang kesakitan yang berada di hospital;['salam', 'jumaat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'minta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesihatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital'];['salam', 'jumaat', 'ya', 'allah', 'kami', 'menadah', 'tangan', 'minta', 'keampunan', 'pada', 'mu', 'dan', 'berserah', 'diri', 'dengan', 'mu', 'dan', 'berilah', 'kekuatan', 'dan', 'kesihatan', 'yang', 'baik', 'jauhilah', 'kami', 'dari', 'segala', 'penyakit', 'berjangkit', 'covid', 'dan', 'hamba', 'mu', 'yang', 'sedang', 'berjuang', 'kesakitan', 'yang', 'berada', 'di', 'hospital'];salam jumaat ya allah kami menadah tangan minta keampunan pada mu dan berserah diri dengan mu dan berilah kekuatan dan kesihatan yang baik jauhilah kami dari segala penyakit berjangkit covid dan hamba mu yang sedang berjuang kesakitan yang berada di hospital
29;Saya kuatir test Covid-19 belum menyeluruh Tau2 nanti ada korban tergeletak mati suspek corona Ngeri;1.0;saya kuatir test covid   belum menyeluruh tau nanti ada korban tergeletak mati suspek corona ngeri;['saya', 'kuatir', 'test', 'covid', 'belum', 'menyeluruh', 'tau', 'nanti', 'ada', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri'];['saya', 'kuatir', 'test', 'covid', 'belum', 'menyeluruh', 'tau', 'nanti', 'ada', 'korban', 'tergeletak', 'mati', 'suspek', 'corona', 'ngeri'];saya kuatir test covid belum menyeluruh tau nanti ada korban tergeletak mati suspek corona ngeri
30;Ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah .yalord;0.0;ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah yalord;['ada', 'yang', 'kek', 'gue', 'saking', 'fokus', 'sama', 'berita', 'soal', 'covid', 'hari', 'ini', 'siap', 'siap', 'kerja', 'padahalan', 'tanggal', 'merah', 'yalord'];['ada', 'yang', 'kek', 'gue', 'saking', 'fokus', 'sama', 'berita', 'soal', 'covid', 'hari', 'ini', 'siap', 'siap', 'kerja', 'padahalan', 'tanggal', 'merah', 'yalord'];ada yang kek gue saking fokus sama berita soal covid hari ini siap siap kerja padahalan tanggal merah yalord
31;Berarti dah lama gak gitaran, mungkin mau bikin album lagu buat Corona Covid Yudhoyono.;-1.0;berarti dah lama gak gitaran mungkin mau bikin album lagu buat corona covid yudhoyono;['berarti', 'dah', 'lama', 'gak', 'gitaran', 'mungkin', 'mau', 'bikin', 'album', 'lagu', 'buat', 'corona', 'covid', 'yudhoyono'];['berarti', 'dah', 'lama', 'gak', 'gitaran', 'mungkin', 'mau', 'bikin', 'album', 'lagu', 'buat', 'corona', 'covid', 'yudhoyono'];berarti dah lama gak gitaran mungkin mau bikin album lagu buat corona covid yudhoyono
