,TIDAK BAKU,BAKU
265,begimane,bagaimana
266,yuk,ayo
267,gan,kakak
269,keok,kalah
270,goblok,bodoh
271,cui,teman
272,aamiin,semoga
273,amin,semoga
274,ngawur,sembarangan
275,assalamualaikum,salam
279,jongos,pembantu
280,nyiptain,menciptakan
281,mantappp ,bagus
282,ntaps,bagus
283,enga,tidak
284,nerapin,menerapkan
285,gabut,nganggur
288,klenger,mabuk
290,pakkk,pak 
291,beneran,serius
293,huft,aduh
294,macem,seperti
296,parpol,partai
297,ormas,organisasi
301,zonk,kosong
304,yeah,iya
306,salut,bangga
308,muter,memutar
309,jago,ahli
312,neko,aneh
313,hmm,aduh
316,mhswa,mahasiswa
318,teoti,teori
320,korup,korupsi
322,peraktek,praktik
323,gwe,saya
324,beljar,belajar
325,semrawut,sembarangan
326,stara,setara
327,melongo,termenung
329,makasi,terimakasih
331,ex,bekas
333,tahon,tahun
334,dibenerin,dibenahi
335,dingebiayain,membiayai
336,dilanjutin,dilanjutkan
337,jenus,jenis
339,orisinal,orisinil
342,mejadikan,menjadikan
343,survive,bertahan
345,malesan,malasan
346,males,malas 
347,aap,apa
348,yak,iya
350,jawabbb,jawab
352,dmana,dimana
353,dibanyakin,diperbanyak
360,pn,pun
361,aj ,saja
365,bljar,belajar
367,scm,semacam
368,tmp ,tempat
370,beratin,memberatkan
371,sruh,suruh
376,dieman,disayangkan
378,pmbinaan,pembinaan
379,mgang,magang
381,ngescan,memotret
382,cemilan,makanan
383,nyalin,menyalin
384,beliin,membelikan
385,roko,rokok
386,impactnya,dampaknya
387,kuliha,kuliah
389,plus,ditambah
390,planning,perencanaan
392,ortu,orangtua
393,ngaruh,pengaruh
398,ngritik,mengritik
401,diwajibinnya,diwajibkannya
403,mendinh,baiknya
404,dodol,bodoh
405,bacod,cerewet
406,me,saya
407,benernya,benarnya
409,seringin,seringkan
411,psikology,psikologi
413,ataau,atau
415,ngurusin,mengurusi
418,bhs,bahasa
421,duluan,dahulu
422,mnguasai,menguasai
430,ktinggal,ketinggalan
431,berhsl,berhasil
432,mdptkan,mendapatkan
439,bikin,membuat
441,upload,mengunggah
446,ngajarin,mengajari
447,mhasiswa,mahasiswa
449,like,suka
450,dikencengin,diperbesar
451,apply,mendaftar
452,syistem,sistem
453,volune,suara
454,volume,suara
455,dsiplin,disiplin
460,ruwet,rumit
461,ketimbang,daripada
462,fapet,peternakan
463,omdo,palsu
464,muluk,berlebihan
466,boroknya,bangkainya
467,ngabisin,menghabiskan
468,podo,sama
471,keteteran,kesulitan
472,alibinya,alasannya
473,alibi ,alasan 
474,awak,saya
475,ribet,rumit
479,nih,ini
481,tu ,itu
482,and,dan
483,spya,supaya
484,seusatu,sesuatu
485,sebanranya,sebenarnya
487,jd,jadi 
491,persolannya,persoalannya
492,maganb,magang
493,koar,cerewet
494,nganggur,pengangguran
495,bablas,kacau
497,kemdikbud,kemendikbud
498,tingg,tinggal
499,pemventukan,pembentukan
501,berpengatahuan,berpengetahuan
502,kebih,lebih
503,goblokkk,bodoh
504,haa,apa
505,remed,remedi
508,apiknya,bagusnya
511,aksa,aksi
512,magan ,magang
515,menbuat,membuat
516,taekkkk,tahi
518,jadul,kuno
520,urgent,darurat
521,euy,kawan
525,millenial,milenial
526,riil,nyata
527,menterwujutkan,mewujudkan
528,beliay,beliau
529,naikin,menaikkan
532,maz,mas 
533,kebijakanya,kebijakannya
534,yunior,junior
535,ri,di
536,selqnjutnya,selanjutnya
539,anin,semoga
540,concern,fokus
541,mantappp,bagus
542,keliru,salah
543,mampus,rasakan
548,keburu,tergesa
549,sikon,situasi
550,matkul,materi
551,mulu ,terus
552,fotocopi,fotokopi
553,ngikat,mengikat
554,jangam,jangan
555,alhamdulilah,syukur
559,nntinya,nantinya
560,seharusnyaa,seharusnya
563,kmpus,kampus
565,berfikiran,berpikiran
567,mangaknya,jadi 
568,sebenernnya,sebenarnya
569,murahin,murahkan
570,step,langkah
572,komptensinya,kompetensinya
573,gapapa,baik 
574,kul ,kalau
580,prusahaan,perusahaan
581,ngebiayain,membiayai
582,manfaatin,memanfaatkan
583,berfikir ,berpikir 
585,dpt,dapat 
586,ancurr,hancur
587,santuy,santai
590,gimik,sandiwara
591,bangke,tahi
592,gembargembor,heboh
593,yaa,iya
594,ya ,iya
595,soale,karena
597,indoensia,indonesia
598,netizen,komentator
599,stakeholder,mitra
600,stakeholdernya,mitranya
601,international,internasional
603,kirain,prasangka
604,wsaktu,waktu
605,too,kan
606,projek,proyek
607,sembrono,sembarangan
608,channel,saluran
609,chanel,saluran
610,maantaapp,baik
611,jos,baik
612,nengoknya,lihatnya
613,full,penuh
614,direalisaskkan,direalisasikan
615,indo ,indonesia
619,plus,lebih
622,bkerja,bekerja
625,recokin,ganggu
626,ditambahin,ditambahkan
627,kemamampuannya,kemampuannya
629,mestixnya,seharusnya
631,kul,kuliah
633,dipraktekkan,dipraktikkan
634,perencanannya,perencanaannya
635,beres,selesai
636,gerakin,menggerakkan
637,kesetaran,kesetaraan
638,uia,usia
639,programmnya,programnya
640,dapet,mendapat
642,becus,baik
645,pelaksanannya,pelaksanaannya
647,revoluisioner,revolusioner
648,ngerjainnya,mengerjakannya
652,mangat,semangat
655,mhasw,mahasiswa
656,mahasw,mahasiswa
657,mahs,mahasiswa
658,sem,semester
661,gembel,miskin
663,bangrut,bangkrut
664,tok,saja
666,ambyar,hancur
667,mendingan,baiknya
672,mpok,ibu
673,kayak,seperti
674,bego,bodoh
683,ky,seperti
687,gtu,gitu
694,apose,apa
696,aq,saya
737,cpe,capek
738,cpee,capek
748,dimance,dimana
749,dimandose,dimana
751,duluw,dulu
752,ea,ya
757,gabut,menganggur
760,gatau,tidak tahu
761,gataw,tidak tahu
767,gtw,tidak tahu
814,kw,kamu
821,low,kalau
831,mager,malas bergerak
836,misal'a,misalnya
838,mu'uv,maaf
840,nak,anak
841,naq,anak
842,nax,anak
850,nggak,tidak
854,ngibul,berbohong
857,nykaps,ibu
860,nich,ini
867,okedech,oke
868,okedeh,oke
882,q,saya
898,tauk,tahu
909,tw,tahu
916,von,telepon
917,w,saya
921,yap,ya
922,yaw,ya
924,yups,ya
925,yupz,ya
926,aamiin,amin
927,aamiinn,amin
928,aamin,amin
929,aammiin,amin
930,abis,habis
931,abisin,habiskan
932,acau,kacau
933,achok,ahok
937,adlah,adalah
938,adlh,adalah
939,ado,ada
940,aduhh,aduh
941,aer,air
942,afdol,afdal
943,agamaataualqur,agama alquran
944,agm,agama
945,agma,agama
946,ahaha,haha
947,ahahaha,haha
948,ahehehehe,hehe
949,ahir,akhir
950,ahirnya,akhirnya
951,ahlamdulillah,alhamdulillah
952,ahli2,para ahli
953,ahlusunnah,ahlus sunah
954,ahmaddani,ahmad dhani
955,aing,aku
956,airmata,air mata
957,aiskrim,es krim
960,ajaa,saja
961,ajah,saja
962,ajalah,sajalah
964,ajg,anjing
966,ajib,hebat
969,akalakalan,akal akalan
970,akalakaln,akal akalan
971,akankena,akan kena
972,akherat,akhirat
973,akhi,saudara
974,akhirny,akhirnya
975,akhirnyamush,akhirnya musuh
976,akirnya,akhirnya
977,akn,akan
979,aksiaksi1120aksi112020aksi1120,aksi aksi
980,akumuslim,aku muslim
981,akuwa,aqua
982,alahuakbar,allahu akbar
983,alallohu,alallahu
984,alesan,alasan
985,alhamdulilah,alhamdulillah
986,alhamdulillaah,alhamdulillah
987,alhamdullilah,alhamdulillah
988,alhmdllh,alhamdulillah
989,allahuakbar,allahu akbar
990,allahughayatuna,allahu ghayatuna
991,alloh,allah
992,allohu,allahu
993,alqur,alquran
996,amajing,luar biasa
997,amcaman,ancaman
998,amiin,amin
999,aminn,amin
1000,ampe,sampai
1001,amriki,amerika
1003,ana,saya
1004,anbiarkekinian,biar kekinian
1005,ancen,memang
1007,ancuur,hancur
1009,aneh2,aneh aneh
1010,anget,hangat
1011,angktpn,angkatpun
1012,anjeng,anjing
1013,anjg,anjing
1015,anomaly,anomali
1016,antikorupsi,anti korupsi
1017,antum,kalian
1018,anugrah,anugerah
1019,ap,apa
1020,apa2,apa apa
1021,apaapaan,apa apaan
1022,apaapalah,apa sajalah
1023,apah,apa
1024,apakabar,apa kabar
1025,apalg,apa lagi
1026,apamaunya,apa maunya
1027,apane,apanya
1028,apaoun,apapun
1029,apasih,apa sih
1030,ape,apa
1031,apenista,penista
1033,apk,apakah
1034,aplgi,apa lagi
1035,apo,apa
1036,apose,apa sih
1038,aq,aku
1039,aquh,aku
1040,artinx,artinya
1041,asek,asyik
1042,aseng,asing
1043,asew,anjing
1045,ask,tanya
1046,asline,aslinya
1047,assalamualaikumalhamdulillahhasil,assalamualaykum alhamdulillah hasil
1048,assalamuallaikum,assalamualaykum
1049,asu,anjing
1050,asw,anjing
1051,asyek,asyik
1052,atauatau05atauatau0atauatau0,atau
1053,atauatauatau,atau
1054,atauatauatau201atauatau201atauatauatau201atauatau,atau
1055,atauatauatauatau,atau
1056,atauatauatauatauatauatauatauatauatauatau,atau
1057,atauem,atau
1058,atauhr,atau
1059,ataus,atau
1060,ati,hati
1061,ati2,hati hati
1062,atit,sakit
1063,ato,atau
1064,atribut2,atribut atribut
1065,atu,satu
1067,awkeren,keren
1068,awutawutan,awut awutan
1069,aya,ada
1070,ayang,sayang
1071,ayok,ayo
1072,ayoo,ayo
1073,ayosavepakahok,ayo lindungi pak ahok
1074,ayuk,ayo
1075,aza,saja
1076,azhan,azan
1077,babeh,ayah
1078,badboy,bad boy
1079,badjingan,bajingan
1080,bae,baik
1081,bagaimnpun,bagaimana
1082,bagi2,bagi bagi
1083,bagimane,bagaimana
1084,bahwasannya,bahwasanya
1085,bakalan,akan
1086,balaikota,balai kota
1087,bales,balas
1088,balikin,kembalikan
1089,baliq,balig
1090,bandarq,bandarku
1091,banding2in,membanding bandingkan
1092,bandingin,bandingkan
1093,banga,bangsa
1094,banged,banget
1095,bangen,banget
1096,bangett,banget
1097,bangettt,banget
1098,bangke,bangkai
1099,bangsag,bangsat
1100,bangst,bangsat
1101,bantuk,bentuk
1102,banun,bangun
1103,banyak2,perbanyak
1104,banyakin,perbanyak
1105,bapake,ayahnya
1106,baper,bawa perasaan
1109,baso,bakso
1110,basukibtp,basuki tjahaja purnama
1111,basukigameover,basuki kalah
1112,bat,banget
1113,bauu,bau
1114,bawak,bawa
1117,bayaranatausuruhan,bayaran atau suruhan
1118,bbrapa,beberapa
1120,bc,baca
1121,bct,bacot
1122,bda,beda
1123,bdan,badan
1124,bdg,bandung
1125,bdn,badan
1126,becanda,bercanda
1127,bedoa,berdoa
1128,bedua,berdua
1129,bege,bego
1130,bejad,bejat
1131,bekel,bekal
1132,bekingin,lindungi
1133,belaislambelaislambelaislam,bela islam
1134,belaquran,bela alquran
1135,beliin,belikan
1137,belon,belum
1138,benar2,benar benar
1140,bener2,benar benar
1141,beneran,benaran
1142,berantem,bertengkar
1143,berdo,berdoa
1144,berenti,berhenti
1145,berfikir,berpikir
1146,bergengam,bergenggam
1147,bergoncang,berguncang
1148,berindak,bertindak
1149,beritadan,berita dan
1150,beritain,memberitakan
1151,beritany,beritanya
1152,beritaterkini,berita kini
1153,berkacaberkacanya,berkaca kaca
1154,berrti,berarti
1155,bersyukrlah,bersyukurlah
1156,beruk2,beruk beruk
1158,bet,banget
1159,bete,sebal
1160,betulin,betulkan
1162,beut,banget
1163,bg,bagi
1164,bgd,banget
1165,bgerak,bergerak
1167,bgi,bagi
1169,bgitu,begitu
1170,bgks,bungkus
1171,bgm,bagaimana
1173,bgmna,bagaimana
1174,bgn,bangun
1175,bgni,begini
1176,bgntdr,bangun tidur
1177,bgs,bagus
1178,bgst,bangsat
1180,bgtu,begitu
1181,bgus,bagus
1183,bhinekaan,bhineka
1184,bhinneka,bhineka
1185,bhkan,bahkan
1186,bhn,bahan
1187,bhong,bohong
1188,bhs,bahas
1189,bhw,bahwa
1190,bhwa,bahwa
1191,bhy,bahaya
1192,biarin,biarkan
1193,biarpn,biarpun
1194,bijimane,bagaimana
1195,bisenye,bisanya
1196,bistu,habis itu
1199,bj,baju
1200,bju,baju
1201,bk,buku
1202,bkan,bukan
1204,bkin,bikin
1205,bkl,bakal
1207,bkna,bukannya
1209,bkr,bakar
1210,bks,bungkus
1211,bl,beli
1213,blakan,blak
1214,blg,bilang
1215,blh,boleh
1216,bli,beli
1217,blik,balik
1218,blingsatanya,belingsatan
1220,blk,balik
1221,blkg,belakang
1222,blkng,belakang
1223,blkngny,belakangnya
1226,blng,bilang
1227,blngn,bilangan
1228,blom,belum
1229,blon,belum
1230,bloon,belum
1231,bls,balas
1233,blusukan,blusuk
1234,bndg,bandung
1235,bndr,bandar
1236,bner,benar
1237,bneran,benar
1238,bnget,banget
1239,bngks,bungkus
1240,bngng,bingung
1241,bngsa,bangsa
1242,bngt,banget
1243,bngun,bangun
1244,bnr,benar
1245,bnrbnr,benar benar
1246,bnrn,benaran
1247,bntar,sebentar
1249,bnyak,banyak
1251,bnykny,banyaknya
1252,bobo,tidur
1253,bobok,tidur
1254,bodo,bodoh
1258,bole,boleh
1259,boong,bohong
1261,boskuh,bosku
1262,boten,tidak
1265,bp,bapak
1266,bpak,bapak
1268,br,baru
1269,brani,berani
1270,brantas,berantas
1271,brapa,berapa
1273,brasa,berasa
1274,bravoo,bravo
1275,breake,istirahat
1276,breaking,istirahat
1277,brengsek,berengsek
1278,brg,barang
1279,brgkt,berangkat
1280,brharap,berharap
1281,brhsl,berhasil
1282,brikut,berikut
1283,bringas,beringas
1284,brisik,berisik
1285,brjln,berjalan
1286,brjuang,berjuang
1287,brkeliaran,berkeliaran
1288,brkfst,sarapan
1289,brkpntingan,berkepentingan
1290,brkumandang,berkumandang
1291,brmslh,bermasalah
1292,brngkt,berangkat
1293,brp,berapa
1294,brpa,berapa
1295,brpedoman,berpedoman
1296,brrti,berarti
1297,brs,beres
1298,brsal,berasal
1299,brsama,bersama
1300,brsamamu,bersamamu
1301,brshbt,bersahabat
1302,brsm,bersama
1303,brtahan,bertahan
1304,brthn,bertahan
1305,brtmn,berteman
1306,bru,baru
1307,bruh,buruh
1313,bsok,besok
1315,bsr,besar
1317,btg,batang
1318,bth,butuh
1319,btl,betul
1320,btul,betul
1321,btull,betul
1322,buad,buat
1323,buatapa,buat apa
1325,bubarin,bubarkan
1326,bukabukaan,buka bukaan
1327,bukane,bukannya
1328,bukn,bukan
1329,buktiin,buktikan
1330,buktikan,buktikan
1331,buktikqn,buktikan
1332,bul,kibul
1333,bulshit,kibul
1334,buryam,bubur ayam
1335,buzer,buzzer
1336,buzzerahoaxsebarkanhoax,buzzer ahok sebar hoaks
1337,buzzerbuzzernya,buzzer buzzernya
1338,bw,bawa
1339,bwa,bawa
1340,bwaanx,bawaan
1341,bwh,bawah
1342,bwt,buat
1343,byak,banyak
1345,bynk,banyak
1346,byr,bayar
1350,cagubnya,calon gubernurnya
1351,cahya,cahaya
1353,caiyo,semangat
1354,cakep,cakap
1355,cantek,cantik
1356,capek,cape
1357,caturx,catur
1358,cayo,semangat
1359,cb,coba
1360,cecunguk2nya,cecunguk cecunguknya
1361,ceheheheh,hehe
1366,cemen,takut
1367,cemplungin,mencemplungkan
1371,centuryataumuniratauhambalang,century munir atau hambalang
1372,cepat2,cepat cepat
1374,ceplas,ceplos
1375,ceppat,cepat
1377,ciamik,indah
1378,ciap,siap
1379,ciayou,semangat
1381,cie,wah
1382,ciee,wah
1384,cino,cina
1385,citizens,warga kota
1386,ciyan,kasihan
1387,ciye,wah
1389,ckck,wkwk
1390,ckp,cukup
1391,ckrg,sekarang
1392,ckup,cukup
1393,cling,bersih
1399,cman,cuma
1401,cmpk,cempaka
1402,col,keren
1403,compares,membandingkan
1404,congrats,selamat
1405,congratulation,selamat
1406,corruptions,korupsi
1407,corruptors,koruptor
1409,coz,soalnya
1410,cpat,cepat
1411,cpe,cape
1412,cpee,cape
1413,cpet,cepat
1414,cpt,cepat
1415,cptn,cepatan
1416,crt,cerita
1417,crying,menangis
1418,cs,rekan
1420,cukupsatuputaran,cukup satu putaran
1422,cw,cewek
1425,d,di
1426,da,dan
1428,dalah,adalah
1430,dann,dan
1433,dapet,dapat
1434,dapetin,mendapatkan
1435,daripaddatidda,dari pada tidak
1436,datangin,mendatangi
1437,dateng,datang
1438,daut,daud
1439,dblg,dibilang
1440,dblkng,dibelakang
1441,dbls,dibalas
1442,dbwt,dibuat
1443,dbyr,dibayar
1444,ddpn,di depan
1445,dduk,duduk
1446,de,deh
1448,democrazy,demokrasi gila
1449,demodemo,demo demo
1450,demodemonov,demo november
1452,dengn,dengan
1453,depa,depan
1454,des,desember
1455,dewadewa,dewa dewa
1459,dgr,dengar
1460,dgrn,dengarkan
1462,dhewan,dewan
1463,diaa,dia
1464,diajakin,diajak
1465,dianutny,dianutnya
1466,diapain,diapakan
1467,dibelakanghari,di belakang hari
1468,dibiarin,dibiarkan
1469,dibobongin,dibodohi
1470,dibodohin,dibodohi
1471,dibohongin,dibohongi
1472,dibohonginataudibodohin,dibohongi atau dibodohi
1473,diboongin,dibohongi
1474,dibuatx,dibuatnya
1475,dibudigunawankan,di budi gunawankan
1476,dicuekin,dicueki
1477,didenger,didengar
1478,didengerin,didengarkan
1479,didiemin,didiamkan
1480,didlam,di dalam
1481,didzalimi,dizalimi
1482,die,dia
1484,diem2,diam diam
1485,digembosin,digembosi
1486,diginiin,dibeginikan
1487,dijadiin,dijadikan
1488,dijatohin,dijatuhi
1489,dijdkn,dijadikan
1490,dikenyataanya,pada kenyataannya
1491,dikirain,dikiranya
1493,dimance,di mana
1494,dimandose,di mana sih
1496,dimonitoring,dipantau
1497,dinaikin,dinaiki
1498,dinegri,di negeri
1500,dipemjara,di penjara
1501,diperes,diperas
1502,dipikirin,dipikirkan
1503,dipilkada,di pilkada
1504,diprose,diproses
1505,dirix,dirinya
1506,dirmh,di rumah
1507,disalahgunakan,disalah gunakan
1508,disamarinda,di samarinda
1509,disewotin,disewoti
1510,disumpahdisumpahin,disumpahi
1511,ditemenin,ditemani
1512,ditentukn,ditentukan
1513,ditetapknnya,ditetapkan
1514,ditrsangkakan,ditersangkakan
1515,dittapkn,ditetapkan
1516,diyem,diam
1517,dizhalimi,dizalimi
1518,dizholimi,dizalimi
1519,dizolimi,dizalimi
1520,djakarta,di jakarta
1521,djasatuputaran,di satu putaran
1522,djkt,di jakarta
1523,djl,di jalan
1524,djln,di jalan
1525,djmin,dijamin
1526,dkat,dekat
1527,dket,dekat
1528,dkijakarta,dki jakarta
1529,dkls,di kelas
1530,dkmps,di kampus
1531,dkmr,di kamar
1532,dkntr,di kantor
1533,dksh,dikasih
1534,dkt,dekat
1535,dl,dulu
1537,dlmnya,dalamnya
1538,dlrng,dilarang
1540,dluan,duluan
1541,dmana,di mana
1542,dmkn,dimakan
1543,dmn,di mana
1544,dmna,di mana
1545,dmnmn,di mana mana
1546,dmny,di mana
1547,dn,dan
1549,dngan,dengan
1550,dngar,dengar
1551,dnger,dengar
1552,dngerin,dengarkan
1553,dngn,dengan
1554,dngr,dengar
1555,doain,doakan
1556,doank,doang
1557,doi,dia
1558,dongok,dungu
1559,donlot,unduh
1560,dont,do not
1561,doyan,suka
1562,dp,uang muka
1563,dpan,depan
1564,dpet,dapat
1565,dpk,depok
1566,dpkrkn,dipikirkan
1567,dpn,depan
1568,dpnrmh,di depan rumah
1569,dpt,dapat
1571,drg,dokter gigi
1572,drh,darah
1574,drmh,di rumah
1575,drmn,dari mana
1577,drtd,dari tadi
1578,drumah,di rumah
1579,dsar,dasar
1580,dsb,dan sebagainya
1581,dsblh,di sebelah
1582,dsini,di sini
1583,dsklh,di sekolah
1584,dsni,di sini
1585,dsnii,di sini
1586,dst,dan seterusnya
1587,dtetapak,ditetapkan
1588,dtg,datang
1589,dtgn,datang
1590,dtgny,datangnya
1591,dtmbh,di tambah
1592,dtmpt,di tempat
1593,dtng,datang
1594,dttapkn,ditetapkan
1595,dtuntut,dituntun
1596,duabelas,dua belas
1597,duaduanya,dua duanya
1598,duchh,aduh
1600,duit2,duit duit
1601,dukungahok,dukung ahok
1602,dukungfatwa,dukung fatwa
1603,dukungfatwamui,dukung fatwa mui
1604,duluan,lebih dahulu
1605,duluw,dahulu
1606,dunk,dong
1607,durung,belum
1608,dy,dia
1609,dya,dia
1610,dzolim,zalim
1611,dzolimi,dizalimi
1612,ea,iya
1613,eagles,elang
1614,ealah,iyalah
1615,ech,eh
1616,eehh,eh
1617,egak,tidak
1618,egh,eh
1619,ehh,eh
1620,ekong,kakek
1621,elech,alah
1622,elee,alah
1623,elektibilitas,elektabilitas
1624,elit,elite
1627,eman,sayang
1629,emangnya,memangnya
1630,emank,memang
1632,emng,memang
1633,en,dan
1634,ending,akhir
1635,endingnya,akhirnya
1637,enggak,tidak
1638,enjarakanahok,penjarakan ahok
1640,entar,nanti
1642,entee,kamu
1643,erti,mengerti
1644,esbeye,susilo bambang yudhoyono
1645,eskrim,es krim
1647,everythings,segalanya
1648,faham,paham
1649,fanati,fanatik
1650,fb,facebook
1651,fcked,fuck
1652,fears,fear
1653,feb,februari
1654,fikir,pikir
1656,finah,fitnah
1657,follback,ikuti
1658,follbek,ikuti
1659,followback,ikuti
1660,follower,pengikut
1661,followers,pengikut
1662,freeahok,free ahok
1663,futures,masa depan
1666,gaada,tidak ada
1667,gabakal,tidak akan
1668,gaberani,tidak berani
1669,gabisa,tidak bisa
1670,gaboleh,tidak boleh
1671,gabut,kurang kerjaan
1672,gada,tidak ada
1673,gaenak,tidak enak
1674,gaikut,tidak ikut
1675,gajadi,tidak jadi
1676,gajelas,tidak jelas
1678,gakuat,tidak kuat
1680,galak2,galak galak
1681,galo,galau
1682,gamasuk,tidak masuk
1683,gamau,tidak mau
1684,ganbate,semangat
1685,ganyangahok,ganyang ahok
1686,ganyangcina,ganyang cina
1687,gapake,tidak pakai
1688,gapapa,tidak apa apa
1689,gapapalah,tidak apalah
1690,gapape,tidak apa
1691,gapedulisamastatus,tidak peduli dengan status
1692,gapernah,tidak pernah
1693,gapunya,tidak punya
1694,gara2,gara gara
1695,garangangarangan,garang
1696,garem,garam
1697,gasuka,tidak suka
1698,gatau,tak tau
1699,gataw,tak tau
1700,gatel,gatal
1701,gausah,tidak usah
1702,gawe,kerja
1703,gbr,gambar
1704,gdg,gudang
1705,gece,gerak cepat
1706,gelaja,gejala
1707,gelarperkarasudahdiumumkan,gelar perkara sudah umum
1708,gelik,geli
1709,gelo,gila
1710,gemes,gemas
1712,genks,geng
1713,gera,gerak
1714,gerja,gereja
1715,ggl,gagal
1720,gilla,gila
1722,gimanapun,bagaimanapun
1723,gin,begini
1724,ginian,beginian
1726,gituan,begitu
1727,gituh,begitu
1729,gmana,bagaimana
1730,gmbr,gambar
1733,gmpg,gampang
1734,gmpng,gampang
1735,gni,begini
1736,gnti,ganti
1737,goblog,goblok
1738,goblog2in,goblok goblokin
1739,going,pergi
1740,gonna,pergi
1741,gosipin,menggosipkan
1742,gov,gubernur
1743,governo,gubernur
1744,governoor,gubernur
1745,governor,gubernur
1746,governour,gubernur
1747,govt,pemerintah
1748,goyangin,goyangkan
1749,gpl,tidak pakai lama
1750,gpny,tidak punya
1752,gprnh,tidak pernah
1753,gr,gede rasa
1754,gr2,gara gara
1755,gratisan,gratis
1756,gregetan,geregetan
1758,gtu,begitu
1759,gtw,tak tau
1760,gua,gue
1761,gub,gubernur
1762,gubatauwalkot,gubernur atau walikota
1763,gubenur,gubernur
1764,guberenur,gubernur
1765,guemewek,gue mewek
1766,guoblog,goblok
1767,gurbenur,gubernur
1768,guwe,gue
1769,gw,gue
1770,gwe,gue
1771,gws,semoga lekas sembuh
1773,ha,apa
1774,habaib,habib
1775,hacur,hancur
1776,hadeh,aduh
1777,hadeuh,aduh
1778,hahaha,haha
1779,hahahahaha,haha
1780,hapal,hafal
1781,hape,telepon genggam
1782,happening,terjadi
1783,haq,hak
1784,haqq,hakiki
1785,hariharimu,hari harimu
1786,harini,hari ini
1787,haritoleransiinternasional,hari toleransi internasional
1788,haritoleransinasional,hari toleransi nasional
1789,hastag,tagar
1790,hastage,tagar
1791,haters,hater
1792,hatinye,hatinya
1793,hbd,selamat ulang tahun
1794,hbis,habis
1795,hbng,hubungi
1796,hbngn,hubungan
1797,hbs,habis
1798,hbskn,habiskan
1799,hdup,hidup
1800,hebatx,hebatnya
1801,helow,halo
1802,hepi,senang
1803,hepihepinya,senang senangnya
1804,hera,heran
1805,hestag,tagar
1806,hestagnya,tagarnya
1807,hesteg,tagar
1808,hestek,tagar
1809,hgga,hingga
1810,hha,haha
1811,hhaaa,haha
1812,hidupgwselo,hidup saya santai
1813,hilangin,hilangkan
1814,hkm,hukum
1815,hkum,hukum
1816,hlg,hilang
1817,hlm,halaman
1818,hlmn,halaman
1819,hmm,hem
1822,hoak,hoaks
1823,hoaker,penyebar hoaks
1824,hoakers,penyebar hoaks
1825,hog,ahok
1826,hok,ahok
1827,hopeless,putus asa
1828,hormatin,hormati
1829,hotels,hotel
1830,hr,hari
1831,hrapan,harapan
1832,hrg,harga
1833,hrgny,harganya
1834,hri,hari
1836,hrsny,seharusnya
1839,hsl,hasil
1840,hti,hati
1841,huah,wah
1842,huakbar,allahu akbar
1843,hub,hubung
1844,hubunganya,hubungannya
1845,huehue,hehe
1846,hukumanny,hukumannya
1850,huwallohu,allahu
1851,hy,hanya
1852,idelete,hapus
1853,idup,hidup
1854,igat,ingat
1855,ihlas,ikhlas
1856,ijo,hijau
